구,보증금(만원),전용면적(㎡),면적당보증금
강서구,18225.97939424032,79.19179163356505,230.1498554114708
금정구,25697.27674190383,78.22238272816486,328.51564789589605
기장군,23226.628086419754,76.62414074074074,303.12415724187366
남구,31314.41717791411,78.90669966536531,396.85371851458916
동구,26804.51023391813,69.84185570175438,383.78863168214497
동래구,30138.129184347006,77.66958877887788,388.02998262484715
부산진구,23355.381932021468,68.64595691711389,340.2295339872932
북구,22499.59288747346,71.09436873673037,316.47503574849543
사상구,18553.825023518344,64.29633913452493,288.5673628275918
사하구,17898.047834518424,72.12000064641241,248.17037817662248
서구,28479.241554054053,78.67112398648648,362.00374560488035
수영구,30290.603530210454,79.60204514596063,380.5254434690556
연제구,27739.841463414636,72.96604029933482,380.1746860541577
영도구,17724.470085470086,63.71675452991454,278.1759713945973
중구,14490.46875,66.2307765625,218.7875411112805
해운대구,30917.760083036774,81.00736702253855,381.66602889876145
