구,보증금(만원),월세금(만원),전용면적(㎡),면적당보증금,면적당월세
강서구,6025.462115528882,68.23480870217554,74.01016076519129,81.41398496141085,0.9219654165954463
금정구,4885.062780269059,57.78139013452915,62.21839080717489,78.51477219024642,0.928686669406209
기장군,3511.28079392878,56.478108581436075,62.256504436660826,56.40022397179597,0.907184062010683
남구,5643.8889593908625,79.53553299492386,65.3051163071066,86.42338117659375,1.2179066127207658
동구,4274.285714285715,75.1047619047619,58.543509285714286,73.01041168245649,1.282887937896283
동래구,5999.941135734072,69.33310249307479,66.11649722991689,90.74801883211644,1.0486505697961026
부산진구,3223.103618016244,54.739355156288454,49.755233669702186,64.77918764109658,1.100172808345613
북구,4994.612052730697,49.2241054613936,61.442880916509736,81.28870225856616,0.8011360262921372
사상구,4280.606712564544,44.90447504302926,54.6382099827883,78.34456351906454,0.8218511378241475
사하구,3467.4518518518516,50.03024691358025,61.78556648148148,56.120742259296506,0.8097400374013798
서구,4920.6682692307695,73.27564102564102,69.50917996794873,70.79163171684274,1.054186527008793
수영구,4913.584005869406,80.07263389581804,65.5668151870873,74.94010486629652,1.2212372015834545
연제구,6295.44578313253,59.658885542168676,60.65971152108434,103.78298256404227,0.9835009769446762
영도구,3454.758754863813,51.53501945525292,60.805595719844355,56.81646095173979,0.8475374485712683
중구,2307.1428571428573,40.276785714285715,40.21340178571428,57.37248665101654,1.0015761891746733
해운대구,5139.835968379447,105.36133069828722,77.80790596179183,66.05801691801605,1.3541211448361778
